Date,Delivered(/ub),Recorded(/ub)
2010-03-30,2.960,2.766
2010-03-31,11.480,9.965
2010-04-01,10.656,9.093
2010-04-02,0.000,0.000
2010-04-03,0.019,0.019
2010-04-04,0.000,0.000
2010-04-05,0.000,0.000
2010-04-06,0.042,0.041
2010-04-07,0.028,0.028
2010-04-08,0.000,0.000
2010-04-09,0.000,0.000
2010-04-10,42.879,32.571
2010-04-11,3.332,3.095
2010-04-12,26.678,23.356
2010-04-13,0.000,0.000
2010-04-14,21.062,20.151
2010-04-15,1.421,1.420
2010-04-16,25.275,24.376
2010-04-17,33.156,32.014
2010-04-18,16.993,15.661
2010-04-19,0.000,0.000
2010-04-20,0.000,0.000
2010-04-21,0.000,0.000
2010-04-22,0.000,0.000
2010-04-23,0.000,0.000
2010-04-24,613.207,591.512
2010-04-25,112.856,110.112
2010-04-26,95.846,92.717
2010-04-27,0.000,0.000
2010-04-28,0.000,0.000
2010-04-29,0.000,0.000
2010-04-30,0.000,0.000
2010-05-01,0.000,0.000
2010-05-02,0.000,0.000
2010-05-03,0.000,0.000
2010-05-04,0.000,0.000
2010-05-05,0.000,0.000
2010-05-06,0.000,0.000
2010-05-07,0.000,0.000
2010-05-08,0.000,0.000
2010-05-09,0.000,0.000
2010-05-10,431.856,429.669
2010-05-11,0.000,0.000
2010-05-12,0.000,0.000
2010-05-13,0.000,0.000
2010-05-14,1225.137,1197.876
2010-05-15,1979.265,1826.177
2010-05-16,2359.159,2123.866
2010-05-17,1452.550,1399.678
2010-05-18,2.655,2.651
2010-05-19,0.000,0.000
2010-05-20,0.000,0.000
2010-05-21,0.000,0.000
2010-05-22,988.545,962.628
2010-05-23,1687.822,1559.742
2010-05-24,1347.962,1057.779
2010-05-25,4386.465,3920.111
2010-05-26,0.000,0.000
2010-05-27,0.000,0.000
2010-05-28,0.000,0.000
2010-05-29,0.000,0.000
2010-05-30,0.000,0.000
2010-05-31,0.000,0.000
2010-06-01,0.000,0.000
2010-06-02,0.000,0.000
2010-06-03,0.000,0.000
2010-06-04,0.000,0.000
2010-06-05,1523.438,1378.781
2010-06-06,0.000,0.000
2010-06-07,0.000,0.000
2010-06-08,0.000,0.000
2010-06-09,0.000,0.000
2010-06-10,0.000,0.000
2010-06-11,0.000,0.000
2010-06-12,0.000,0.000
2010-06-13,0.000,0.000
2010-06-14,0.000,0.000
2010-06-15,0.000,0.000
2010-06-16,0.000,0.000
2010-06-17,0.000,0.000
2010-06-18,0.000,0.000
2010-06-19,0.000,0.000
2010-06-20,0.000,0.000
2010-06-21,0.000,0.000
2010-06-22,0.000,0.000
2010-06-23,0.000,0.000
2010-06-24,122.299,23.305
2010-06-25,329.021,93.437
2010-06-26,9716.918,6823.297
2010-06-27,5548.192,5342.003
2010-06-28,0.000,0.000
2010-06-29,7538.745,5992.469
2010-06-30,1481.252,1470.728
2010-07-01,8584.500,7549.665
2010-07-02,1357.140,1108.812
2010-07-03,1787.132,1744.476
2010-07-04,15916.070,13961.642
2010-07-05,23140.605,19997.715
2010-07-06,1504.134,1342.251
2010-07-07,0.000,0.000
2010-07-08,0.000,0.000
2010-07-09,7773.273,6314.901
2010-07-10,0.000,0.000
2010-07-11,0.000,0.000
2010-07-12,23123.956,17923.949
2010-07-13,30411.829,28510.292
2010-07-14,58892.869,54351.764
2010-07-15,29122.620,25670.432
2010-07-16,5212.037,5121.186
2010-07-17,28448.484,26946.716
2010-07-18,51759.646,46182.252
2010-07-19,10544.135,10181.675
2010-07-20,0.000,0.000
2010-07-21,0.000,0.000
2010-07-22,0.000,0.000
2010-07-23,0.000,0.000
2010-07-24,0.000,0.000
2010-07-25,0.000,0.000
2010-07-26,0.000,0.000
2010-07-27,0.000,0.000
2010-07-28,9617.439,7058.244
2010-07-29,48277.901,43358.700
2010-07-30,61659.561,50242.055
2010-07-31,49300.939,46166.998
2010-08-01,34914.084,31597.063
2010-08-02,83717.870,72588.504
2010-08-03,40440.415,23471.267
2010-08-04,79534.597,71075.063
2010-08-05,51923.502,46857.343
2010-08-06,94947.756,89519.845
2010-08-07,15792.606,10979.869
2010-08-08,99204.975,92013.345
2010-08-09,19492.822,18798.853
2010-08-10,49302.507,38519.802
2010-08-11,0.000,0.000
2010-08-12,0.000,0.000
2010-08-13,31303.435,30735.055
2010-08-14,136221.691,127655.887
2010-08-15,139597.574,134496.466
2010-08-16,63970.396,60731.380
2010-08-17,0.000,0.000
2010-08-18,93757.224,89940.263
2010-08-19,51481.008,44920.468
2010-08-20,189001.871,178856.613
2010-08-21,0.000,0.000
2010-08-22,37613.988,36854.796
2010-08-23,300579.586,294489.270
2010-08-24,262080.662,243641.725
2010-08-25,117295.249,113493.107
2010-08-26,371864.100,331112.627
2010-08-27,60389.976,59108.200
2010-08-28,98562.189,81307.507
2010-08-29,467718.909,457697.438
2010-08-30,85241.947,77890.627
2010-08-31,0.000,0.000
2010-09-01,0.000,0.000
2010-09-02,0.000,0.000
2010-09-03,0.000,0.000
2010-09-04,0.000,0.000
2010-09-05,0.000,0.000
2010-09-06,0.000,0.000
2010-09-07,0.000,0.000
2010-09-08,0.000,0.000
2010-09-09,0.000,0.000
2010-09-10,0.000,0.000
2010-09-11,0.000,0.000
2010-09-12,0.000,0.000
2010-09-13,0.000,0.000
2010-09-14,0.000,0.000
2010-09-15,0.000,0.000
2010-09-16,0.000,0.000
2010-09-17,0.000,0.000
2010-09-18,0.000,0.000
2010-09-19,0.000,0.000
2010-09-20,0.000,0.000
2010-09-21,0.000,0.000
2010-09-22,89579.207,76057.351
2010-09-23,418202.620,404528.191
2010-09-24,87715.051,80459.940
2010-09-25,708974.275,690629.752
2010-09-26,835852.650,796594.254
2010-09-27,561773.446,466602.405
2010-09-28,930839.174,882373.572
2010-09-29,0.000,0.000
2010-09-30,498461.282,485583.257
2010-10-01,0.000,0.000
2010-10-02,577807.102,567327.599
2010-10-03,1072026.178,1024099.946
2010-10-04,1118557.345,753024.762
2010-10-05,1481420.842,1384787.187
2010-10-06,0.000,0.000
2010-10-07,1090461.589,1077736.632
2010-10-08,1691085.159,1558309.775
2010-10-09,0.000,0.000
2010-10-10,0.000,0.000
2010-10-11,1248175.445,1093579.109
2010-10-12,1091400.920,1043426.236
2010-10-13,0.000,0.000
2010-10-14,2185283.121,2084056.669
2010-10-15,4501.014,4406.609
2010-10-16,1210040.308,1120882.134
2010-10-17,1492603.153,1433669.959
2010-10-18,0.000,0.000
2010-10-19,0.000,0.000
2010-10-20,0.000,0.000
2010-10-21,0.000,0.000
2010-10-22,0.000,0.000
2010-10-23,0.000,0.000
2010-10-24,3907606.324,3327867.077
2010-10-25,5870119.154,5151451.054
2010-10-26,5272622.006,4911191.598
2010-10-27,755237.227,738132.539
2010-10-28,4330403.025,4246621.778
2010-10-29,2399300.557,2326774.922
2010-10-30,4156.924,4129.417
2010-10-31,435649.191,427991.066
2010-11-01,0.000,0.000
2010-11-02,0.000,0.000
2010-11-03,0.000,0.000
2010-11-04,0.000,0.000
2010-11-05,0.000,0.000
2010-11-06,0.000,0.000
2010-11-07,0.000,0.000
2010-11-08,0.000,0.000
2010-11-09,0.000,0.000
2010-11-10,0.000,0.000
2010-11-11,0.000,0.000
2010-11-12,0.000,0.000
2010-11-13,0.000,0.000
2010-11-14,0.000,0.000
2010-11-15,0.000,0.000
2010-11-16,0.000,0.000
2010-11-17,0.000,0.000
2010-11-18,0.000,0.000
2010-11-19,0.000,0.000
2010-11-20,0.000,0.000
2010-11-21,0.000,0.000
2010-11-22,0.000,0.000
2010-11-23,0.000,0.000
2010-11-24,0.000,0.000
2010-11-25,0.000,0.000
2010-11-26,0.000,0.000
2010-11-27,0.000,0.000
2010-11-28,0.000,0.000
2010-11-29,0.000,0.000
2010-11-30,0.000,0.000
2010-12-01,0.000,0.000
2010-12-02,0.000,0.000
2010-12-03,0.000,0.000
2010-12-04,0.000,0.000
2010-12-05,0.000,0.000
2010-12-06,0.000,0.000
2010-12-07,0.000,0.000
2010-12-08,0.000,0.000
2010-12-09,0.000,0.000
2010-12-10,0.000,0.000
2010-12-11,0.000,0.000
2010-12-12,0.000,0.000
2010-12-13,0.000,0.000
2010-12-14,0.000,0.000
2010-12-15,0.000,0.000
2010-12-16,0.000,0.000
2010-12-17,0.000,0.000
2010-12-18,0.000,0.000
2010-12-19,0.000,0.000
2010-12-20,0.000,0.000
2010-12-21,0.000,0.000
2010-12-22,0.000,0.000
2010-12-23,0.000,0.000
2010-12-24,0.000,0.000
2010-12-25,0.000,0.000
2010-12-26,0.000,0.000
2010-12-27,0.000,0.000
2010-12-28,0.000,0.000
2010-12-29,0.000,0.000
2010-12-30,0.000,0.000
2010-12-31,0.000,0.000
2011-01-01,0.000,0.000
2011-01-02,0.000,0.000
2011-01-03,0.000,0.000
2011-01-04,0.000,0.000
2011-01-05,0.000,0.000
2011-01-06,0.000,0.000
2011-01-07,0.000,0.000
2011-01-08,0.000,0.000
2011-01-09,0.000,0.000
2011-01-10,0.000,0.000
2011-01-11,0.000,0.000
2011-01-12,0.000,0.000
2011-01-13,0.000,0.000
2011-01-14,0.000,0.000
2011-01-15,0.000,0.000
2011-01-16,0.000,0.000
2011-01-17,0.000,0.000
2011-01-18,0.000,0.000
2011-01-19,0.000,0.000
2011-01-20,0.000,0.000
2011-01-21,0.000,0.000
2011-01-22,0.000,0.000
2011-01-23,0.000,0.000
2011-01-24,0.000,0.000
2011-01-25,0.000,0.000
2011-01-26,0.000,0.000
2011-01-27,0.000,0.000
2011-01-28,0.000,0.000
2011-01-29,0.000,0.000
2011-01-30,0.000,0.000
2011-01-31,0.000,0.000
2011-02-01,0.000,0.000
